Variable	HR	Lower95	Upper95	Pvalue	Rank	Percentile
TumorStageStage IIIA	3.89511113186347	0.932614782991071	16.2681216363606	0.0622778978083052	1	0
TumorStageStage IV	3.95289931311943	0.899309225741019	17.3749056858445	0.0688392888334193	2	0.090909
TumorStageStage II	8.06383999486249	0.709448236328084	91.6564622097009	0.0923422668326223	3	0.181818
age_at_index	1.01237555620297	0.996269586837953	1.0287418991181	0.132787892571272	4	0.272727
TumorStageStage IIA	3.03527728215286	0.705456762979091	13.0594937394148	0.135877399054734	5	0.363636
TumorStageStage IIIB	3.14043936082135	0.648632212757493	15.2048559800456	0.155015729069815	6	0.454545
TumorStageStage IIB	2.3263043736134	0.552359760878943	9.79740455764094	0.249786538066777	7	0.545455
Expression_Z	0.933465439583009	0.80088417716563	1.08799468355047	0.378360685670805	8	0.636364
Mutation	1.06884805032317	0.778964399452315	1.46660894321085	0.679986659748513	9	0.727273
TumorStageStage IB	1.2320374993872	0.294775827057749	5.14939238758844	0.774907884657024	10	0.818182
TumorStageStage I	1.06178634783397	0.0948694086528909	11.8836015155477	0.961196450022271	11	0.909091
TumorStageStage IA	1.01524192703355	0.240745489103667	4.2813519548977	0.983563672721526	12	1
