gene_name	Mutated_Patients	Frequency	MeanExpression	MutationScore	ExpressionScore	DriverScore
TP53	245	0.485148514851485	5.87489371084081	1	0.471513399890095	0.788605359956038
TTN	219	0.433663366336634	2.98498336275117	0.893877551020408	0.239571934959269	0.632155304595953
MUC16	200	0.396039603960396	4.31785138712019	0.816326530612245	0.346546659049228	0.628414581987038
KRAS	139	0.275247524752475	6.05109362983108	0.56734693877551	0.485655038352449	0.534670178606286
RYR2	175	0.346534653465347	1.98676435003843	0.714285714285714	0.159455823300841	0.492353757891765
COL3A1	53	0.104950495049505	10.511461471754	0.216326530612245	0.843639932959935	0.467251891551321
COL6A3	57	0.112871287128713	9.14146128667713	0.23265306122449	0.733685016852489	0.433065843475689
ZFHX4	156	0.308910891089109	1.58090960229642	0.636734693877551	0.126882305993413	0.432793738723896
ACTB	9	0.0178217821782178	12.4596537706249	0.036734693877551	1	0.422040816326531
AHNAK	54	0.106930693069307	8.98007005990185	0.220408163265306	0.720731909988815	0.42053766195471
KEAP1	91	0.18019801980198	6.09905575210502	0.371428571428571	0.48950443281853	0.418658915984555
COL1A2	32	0.0633663366336633	10.4062189032121	0.130612244897959	0.835193264177694	0.412444652609853
VCAN	68	0.134653465346535	7.22871348473297	0.277551020408163	0.580169691534728	0.398598488858789
FN1	16	0.0316831683168316	11.1568391962917	0.0653061224489794	0.895437337319536	0.397358608397202
PLEC	46	0.091089108910891	8.84968962726679	0.187755102040816	0.710267700064905	0.396760141250452
EGFR	70	0.138613861386139	6.99034935357215	0.285714285714286	0.561038812334633	0.395844096362425
FLNA	31	0.0613861386138613	9.91016669617702	0.126530612244898	0.795380584293713	0.394070601064424
COL11A1	102	0.201980198019802	4.45929764984955	0.416326530612245	0.357899002006208	0.39295551916983
EEF1A1	3	0.0059405940594059	11.9667549284907	0.0122448979591836	0.960440406193603	0.391523101252952
ACTG1	6	0.0118811881188118	11.7105794512532	0.0244897959183672	0.939880005242379	0.390645879647972
COL1A1	16	0.0316831683168316	10.8817049331659	0.0653061224489794	0.873355322185661	0.388525802343652
SFTPB	6	0.0118811881188118	11.6092080736416	0.0244897959183672	0.93174403457435	0.38739149138076
B2M	8	0.0158415841584158	11.4308858400385	0.0326530612244897	0.917432061153109	0.386564661195938
FTL	1	0.0019801980198019	11.8761575661407	0.00408163265306106	0.953169147776815	0.383716638702563
MXRA5	70	0.138613861386139	6.52621355364496	0.285714285714286	0.523787713028692	0.380943656640048
IGHG1	5	0.0099009900990099	11.4227924095773	0.0204081632653061	0.916782490096782	0.378957893997897
IGKC	2	0.0039603960396039	11.519472245889	0.00816326530612233	0.92454192210762	0.374714728026722
SYNE2	59	0.116831683168317	6.96869590270905	0.240816326530612	0.559300926895622	0.368210166676616
MYH9	15	0.0297029702970297	10.2968713744938	0.0612244897959184	0.826417135183148	0.36730154795081
DST	63	0.124752475247525	6.62594230256803	0.257142857142857	0.531791847875376	0.367002453435865
EEF2	7	0.0138613861386138	10.8141088832132	0.0285714285714285	0.867930127296852	0.364314908061598
HUWE1	41	0.0811881188118811	8.18048986734779	0.16734693877551	0.656558361728657	0.363031507956769
GNAS	16	0.0316831683168316	10.0753333801112	0.0653061224489794	0.808636705769862	0.362638355777333
MACF1	42	0.0831683168316831	8.07305429382821	0.171428571428571	0.647935684445852	0.362031416635484
PSAP	5	0.0099009900990099	10.8807081555622	0.0204081632653061	0.873275321760124	0.361555026663233
IGHA1	6	0.0118811881188118	10.7392664421042	0.0244897959183672	0.861923343923349	0.35946321512036
ADAMTS12	88	0.174257425742574	4.43456305403898	0.359183673469388	0.355913826794608	0.357875734799476
LRP1	36	0.0712871287128712	8.38412257768987	0.146938775510204	0.672901730018887	0.357323957313677
SRRM2	25	0.0495049504950495	9.1761642868392	0.102040816326531	0.73647024674739	0.355812588494875
ENO1	3	0.0059405940594059	10.8311950657181	0.0122448979591836	0.869301448107159	0.355067518018374
HSP90AB1	8	0.0158415841584158	10.4256373267427	0.0326530612244897	0.836751768441781	0.354292544111406
HLA-B	2	0.0039603960396039	10.7502248036	0.00816326530612233	0.862802851628581	0.350019099835106
RPL8	4	0.0079207920792079	10.597403411382	0.0163265306122449	0.850537551562358	0.35001093899229
A2M	17	0.0336633663366336	9.59642492744149	0.0693877551020407	0.770199967359138	0.34971264000488
SLC34A2	10	0.0198019801980198	10.1214798750637	0.0408163265306122	0.812340379708321	0.349425947801696
RPL3	2	0.0039603960396039	10.6848615915788	0.00816326530612233	0.857556862195452	0.347920704061854
COL5A2	47	0.093069306930693	7.23403627057587	0.191836734693877	0.58059689328053	0.347340798128538
COL4A1	30	0.0594059405940594	8.50744575369564	0.122448979591837	0.682799531215941	0.346589200241479
COL4A2	30	0.0594059405940594	8.49637470236343	0.122448979591837	0.681910979131267	0.346233779407609
AHNAK2	64	0.126732673267327	5.89680668098468	0.261224489795918	0.47327211410056	0.346043539517775
